End Points,Category,Description,Error Response,HTTP Methods,Success Response
"/api/v1/products
  ",Products,"
  Fetch
  all products
  ","• HTTP Status Code: 500 Internal Server Error
• Body: ""An internal server error occurred while fetching all products.""",GET,"
  Collection
  of products
  "
/api/v1/customers,customers,Fetch all customers,"• HTTP Status Code: 500 Internal Server Error
• Body: ""An internal server error occurred while fetching customers.""",GET,"
  Collection
  of Customers
  "
"/api/v1/products
  ",Products,"
  Update products by object
  ","• HTTP Status Code: 400 Bad Request
• Body: ""Invalid request. Please provide valid product data for updating.""",PUT,"
  String: Record Updated Successfully
  "
"/api/v1/orders
  ",Orders,"
  Fetch
  all orders
  ","• HTTP Status Code: 500 Internal Server Error
• Body: ""An internal server error occurred while fetching all orders.""",GET,"
  Collection
  of Orders
  "
"/api/v1/products
  ",Products,"
  Add new product object in DB
  ","• HTTP Status Code: 400 Bad Request
• Body: ""Invalid request. Please provide valid product data for creation.""",POST,"
  String: Record Created Successfully
  "
/api/v1/customers,customers,Add new Customer object in DB,"• HTTP Status Code: 400 Bad Request
• Body: ""Invalid request. Please provide valid customer data.""",POST,"
  String: Record Created Successfully
  "
/api/v1/customers,customers,Update customer by object,"• HTTP Status Code: 400 Bad Request
• Body: ""Invalid request. Please provide valid customer data for updating.""",PUT,"
  String: Record Updated Successfully
  "
/api/v1/customers/{customerId),customers,Delete customer by object,"• HTTP Status Code: 400 Bad Request
• Body: ""Invalid request. Please provide valid customer ID for deletion.""",DELETE,"
  String: Record deleted Successfully
  "
/api/v1/customers/{emailId},customers,Search Customers Matching emailid,"• HTTP Status Code: 404 Not Found
• Body: ""Customer with the provided email ID not found.""",GET,"
  Collection of Customers
  "
/api/v1/customers/{name},customers,Search Customers Matching name wildcard,"• HTTP Status Code: 404 Not Found
• Body: ""Customer with the provided name wildcard not found.""",GET,"
  Collection of Customers
  "
/api/v1/customers/shipment/status,customers,Shipment status wise count of customers,"• HTTP Status Code: 500 Internal Server Error
• Body: ""An internal server error occurred while fetching shipment status count.""",GET,"
  Custom Object of Shipment Status
  and count of customers
  "
/api/v1/customers/{custId}/order,customers,Fetch orders for the respective customer by id,"• HTTP Status Code: 404 Not Found
• Body: ""Orders for the specified customer ID not found.""",GET,"
  Custom object of customer with
  list of Order(s)
  "
/api/v1/customers/{custId}/shipment,customers,Fetch shipment history for the respective customer by id,"• HTTP Status Code: 404 Not Found
• Body: ""Shipment history for the specified customer ID not found.""",GET,"
  Custom object of customer with
  list of shipment(s)
  "
"/api/v1/products /{id}
  ",Products,"
  Delete product
  ","• HTTP Status Code: 404 Not Found
• Body: ""Product with the specified ID not found for deletion.""",DELETE,"
  String: Record deleted Successfully
  "
"/api/v1/products /{productname}
  ",Products,"
  Search Products Matching product
  name
  ","• HTTP Status Code: 404 Not Found
• Body: ""Product(s) with the specified name not found.""",GET,"
  Collection of Products
  "
" /api/v1/products/sort?field=value
  ",Products,"
  Get list of products order by
  query field
  ","• HTTP Status Code: 400 Bad Request
• Body: ""Invalid request. Please provide a valid field for sorting.""",GET,"
  Collection of Product Object
  ordered by query field
  "
"/api/v1/products /unitprice?min=value&max=value
  ",Products,"
  Fetch List of Products matching
  between min and max unit price
  ","• HTTP Status Code: 400 Bad Request
• Body: ""Invalid request. Please provide valid minimum and maximum unit prices.""",GET,"
  Collection of Products
  "
"/api/v1/orders
  ",Orders,"
  Create new Order object in DB
  ","• HTTP Status Code: 400 Bad Request
• Body: ""Invalid request. Please provide valid order data for creation.""",POST,"
  String: Record Created Successfully
  "
"/api/v1/orders
  ",Orders,"
  Update Order by object
  ","• HTTP Status Code: 400 Bad Request
• Body: ""Invalid request. Please provide valid order data for updating.""",PUT,"
  String: Record Updated Successfully
  "
